,mcc,mcc_name,mcc_group,big_cashback,no_cashback
151,3142,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
152,3143,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
153,3144,Название,Virgin Atlantic (VIR ATL),0,0
154,3145,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
155,3146,Luxair (LUXAIR),"Авиалинии, авиакомпании",0,0
156,3147,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
157,3148,"Air Littoral, S.A. (LITTORAL)","Авиалинии, авиакомпании",0,0
158,3150,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
159,3151,Air Zaire (AIRZAIRE),"Авиалинии, авиакомпании",0,0
160,3152,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
161,3153,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
162,3154,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
163,3155,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
164,3156,GO FLY Ltd. (GOFLY),"Авиалинии, авиакомпании",0,0
165,3157,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
166,3158,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
167,3159,Provincetown-Boston Airways (PBA),"Авиалинии, авиакомпании",0,0
168,3160,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
169,3161,All Nippon Airways (ANAAIR),"Авиалинии, авиакомпании",0,0
170,3162,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
171,3163,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
172,3164,Norontair (NORONTAI),"Авиалинии, авиакомпании",0,0
173,3165,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
174,3166,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
175,3167,Aero Continente (AERO CONT),"Авиалинии, авиакомпании",0,0
176,3168,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
177,3169,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
178,3170,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
179,3171,Название,Canadian Airlines (CANADIAN),0,0
180,3172,Nation Air (NATIONAI),"Авиалинии, авиакомпании",0,0
181,3173,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
182,3174,JetBlue Airways (JETBLUE),"Авиалинии, авиакомпании",0,0
183,3175,Middle East Air (MIDEASTA),"Авиалинии, авиакомпании",0,0
184,3176,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
185,3177,AirTran Airways (AIRTRAN A),"Авиалинии, авиакомпании",0,0
186,3178,Mesa Air (MESA AIR),"Авиалинии, авиакомпании",0,0
187,3179,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
188,3180,Westjet Airlines (WESTJET),"Авиалинии, авиакомпании",0,0
189,3181,Malev Hungarian Airlines (MALEV),"Авиалинии, авиакомпании",0,0
190,3182,LOT – Polish Airlines (LOT),"Авиалинии, авиакомпании",0,0
191,3183,Oman Aviation Services (OMAN AIR),"Авиалинии, авиакомпании",0,0
192,3184,LIAT (LIAT),"Авиалинии, авиакомпании",0,0
193,3185,LAV Linea Aeropostal Venezolana (LAV),"Авиалинии, авиакомпании",0,0
194,3186,LAP Lineas Aereas Paraguayas (LAP),"Авиалинии, авиакомпании",0,0
195,3187,LACSA (Costa Rica) (LACSA),"Авиалинии, авиакомпании",0,0
196,3188,Virgin Express (VIR EXP),"Авиалинии, авиакомпании",0,0
197,3189,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
198,3190,Jugoslav Air (JUGOSLAV),"Авиалинии, авиакомпании",0,0
199,3191,Island Airlines (ISLANDAI),"Авиалинии, авиакомпании",0,0
200,3192,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
201,3193,Indian Airlines (INDIAN A),"Авиалинии, авиакомпании",0,0
202,3194,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
203,3195,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
204,3196,Hawaiian Air (HAWAIIAN),"Авиалинии, авиакомпании",0,0
205,3197,Название,Havasu Airlines (HAVASUAI),0,0
206,3198,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
207,3199,Servicios Aereos Militares,"Авиалинии, авиакомпании",0,0
208,3200,Guyana Airways (GUYANA A),"Авиалинии, авиакомпании",0,0
209,3201,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
210,3202,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
211,3203,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
212,3204,Freedom Airlines (FREEDOM),"Авиалинии, авиакомпании",0,0
213,3205,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
214,3206,China Eastern Airlines (CHINAEAST),"Авиалинии, авиакомпании",0,0
215,3207,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
216,3208,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
217,3209,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
218,3210,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
219,3211,Norwegian Air Shuttle (NORWEGIAN),"Авиалинии, авиакомпании",0,0
220,3212,Dominicana de Aviacion (DOMINICA),"Авиалинии, авиакомпании",0,0
221,3213,Malmo Aviation (MALMO AV),"Авиалинии, авиакомпании",0,0
222,3214,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
223,3215,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
224,3216,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
225,3217,CSA Ceskoslovenske Aerolinie (CSA),"Авиалинии, авиакомпании",0,0
226,3218,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
227,3219,Compania Panamena de Aviacion (COPA),"Авиалинии, авиакомпании",0,0
228,3220,Compania Faucett (COMPANIA),"Авиалинии, авиакомпании",0,0
229,3221,Transportes Aeros Militares Ecuatorianos (TAME AIR),"Авиалинии, авиакомпании",0,0
230,3222,Command Airways (COMMAND),"Авиалинии, авиакомпании",0,0
231,3223,Название,Comair (COMAIR),0,0
232,3224,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
233,3225,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
234,3226,Skyways (SKYWAYS),"Авиалинии, авиакомпании",0,0
235,3227,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
236,3228,Cayman Airways (CAYMANAIR),"Авиалинии, авиакомпании",0,0
237,3229,SAETA (Sociedad Ecuatorianas De Transportes Aereo) (SAETAAIR),"Авиалинии, авиакомпании",0,0
238,3230,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
239,3231,SAHSA (Servicio Aero de Honduras) (SAHSA),"Авиалинии, авиакомпании",0,0
240,3232,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
241,3233,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
242,3234,Caribbean Airlines (CARIBBEAN),"Авиалинии, авиакомпании",0,0
243,3235,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
244,3236,Air Arabia Airline (AIR ARAB),"Авиалинии, авиакомпании",0,0
245,3237,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
246,3238,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
247,3239,Bar Harbor Airlines (BARHARBO),"Авиалинии, авиакомпании",0,0
248,3240,Bahamasair (BAHAMASA),"Авиалинии, авиакомпании",0,0
249,3241,Aviateca (Guatemala) (AVIATECA),"Авиалинии, авиакомпании",0,0
250,3242,Avensa (AVENSA),"Авиалинии, авиакомпании",0,0
251,3243,Austrian Air Service (AUSTRAIR),"Авиалинии, авиакомпании",0,0
